Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level,Age_num
0,0.8,2,0,0,0,1,1,0,2,0,0,1,1,28.0
0,0.6000000000000001,2,1,0,0,1,0,0,2,1,0,1,2,23.0
0,0.6000000000000001,2,1,1,1,1,0,1,2,2,1,0,2,23.0
0,0.6000000000000001,2,1,1,1,1,0,1,1,2,1,0,2,23.0
0,0.6000000000000001,2,1,1,1,0,1,0,1,1,1,1,1,23.0
1,0.4,2,1,1,1,1,0,1,2,1,0,0,2,18.0
1,0.2,1,0,0,0,0,1,0,0,1,0,1,1,
0,0.6000000000000001,2,1,1,1,1,0,1,2,1,1,1,2,23.0
1,0.2,1,1,0,1,1,0,1,2,1,0,0,2,
1,0.4,0,1,0,0,0,0,0,1,0,0,1,1,18.0
1,1.0,1,1,0,1,1,1,1,2,1,0,1,2,
0,0.2,1,0,0,1,1,0,1,2,1,0,0,2,
1,0.6000000000000001,2,1,0,1,1,0,1,1,1,1,1,0,23.0
0,0.2,1,0,0,0,1,0,0,1,0,0,1,1,
0,0.6000000000000001,2,1,1,1,0,1,0,1,1,1,1,2,23.0
1,0.4,0,1,0,1,1,0,1,2,2,0,1,2,18.0
0,0.8,2,0,1,1,1,0,1,2,0,0,0,1,28.0
0,0.6000000000000001,2,1,1,1,0,0,1,2,2,1,0,1,23.0
0,0.4,0,0,0,0,0,1,0,1,1,0,1,2,18.0
1,0.6000000000000001,2,1,1,0,1,0,0,1,1,1,1,2,23.0
1,0.4,0,1,0,1,0,0,1,2,2,0,0,2,18.0
1,0.4,1,1,0,1,1,0,1,2,1,0,1,1,18.0
1,0.4,2,1,1,1,1,0,1,2,1,1,0,2,18.0
1,0.6000000000000001,2,0,0,1,1,0,0,2,1,0,1,1,23.0
0,0.6000000000000001,2,1,1,1,1,2,1,2,1,1,0,0,23.0
0,0.6000000000000001,2,0,1,0,0,0,0,1,1,0,1,1,23.0
0,0.6000000000000001,2,1,1,0,0,0,0,1,2,1,1,0,23.0
0,0.4,0,0,0,1,1,1,0,2,1,0,1,1,18.0
0,0.6000000000000001,2,0,1,1,1,0,1,2,2,0,0,1,23.0
1,0.6000000000000001,2,1,0,1,1,0,0,2,1,0,1,2,23.0
1,0.2,1,1,1,1,1,0,0,1,1,0,1,2,
1,0.4,0,1,0,0,1,0,0,1,1,0,1,2,18.0
0,0.6000000000000001,2,0,0,0,1,1,0,1,1,0,1,1,23.0
0,0.6000000000000001,2,1,0,1,1,0,1,2,2,0,0,2,23.0
0,0.6000000000000001,2,1,1,1,0,1,1,1,2,0,0,2,23.0
1,0.6000000000000001,2,1,0,1,0,1,1,2,2,0,1,1,23.0
1,0.6000000000000001,2,0,0,0,1,0,0,0,1,0,1,1,23.0
0,0.4,0,0,0,0,1,0,1,2,1,0,1,1,18.0
0,0.2,1,1,0,1,1,2,0,2,1,0,1,0,
0,0.0,1,1,0,1,1,2,1,2,1,0,1,2,
0,0.6000000000000001,2,1,1,1,1,0,1,2,2,0,0,1,23.0
0,0.6000000000000001,2,0,1,1,1,0,0,1,1,0,0,1,23.0
0,0.8,2,0,1,1,1,2,1,2,1,0,0,0,28.0
0,0.6000000000000001,2,1,1,1,0,0,0,1,1,1,0,2,23.0
0,0.6000000000000001,2,1,1,1,1,0,1,1,1,1,1,1,23.0
0,0.4,2,0,0,0,1,1,0,2,1,0,1,2,18.0
0,0.0,1,0,0,0,1,0,0,1,0,0,1,1,
1,0.4,0,0,0,0,0,1,0,2,0,0,1,1,18.0
0,0.4,0,0,1,1,1,0,0,2,1,1,1,1,18.0
0,0.6000000000000001,2,1,1,1,1,0,1,1,1,1,0,2,23.0
1,0.8,2,0,0,1,1,0,1,2,1,0,1,1,28.0
0,0.2,1,0,0,1,1,0,0,2,1,0,1,2,
1,0.2,1,1,0,1,1,1,1,1,1,0,1,2,
0,1.0,1,1,0,1,1,0,1,2,1,0,1,1,
1,1.0,1,1,0,1,1,0,1,2,1,0,1,2,
1,0.6000000000000001,2,1,0,1,1,2,1,2,2,0,0,2,23.0
0,0.2,1,1,1,1,1,1,0,2,1,0,1,2,
0,0.2,1,0,0,1,1,0,1,2,1,0,1,0,
1,0.6000000000000001,2,1,1,1,0,0,1,1,2,1,1,1,23.0
1,0.4,1,0,0,0,1,2,0,2,1,0,1,0,18.0
1,0.4,0,0,0,0,0,0,0,1,1,0,1,1,18.0
0,0.4,1,0,0,1,1,2,0,2,1,0,1,2,18.0
0,0.6000000000000001,2,1,1,1,0,1,1,1,2,0,1,1,23.0
0,0.2,1,1,0,1,1,0,0,2,2,0,1,2,
1,0.6000000000000001,2,1,0,0,1,0,1,2,0,0,1,1,23.0
1,0.4,1,1,0,1,1,0,1,2,0,0,1,1,18.0
0,0.6000000000000001,2,1,1,0,1,0,1,2,2,1,0,2,23.0
0,0.6000000000000001,2,1,1,0,0,1,0,1,2,1,1,2,23.0
1,0.8,2,0,0,1,1,0,0,2,0,0,1,1,28.0
1,0.6000000000000001,2,1,0,1,1,0,1,0,2,0,1,2,23.0
0,0.6000000000000001,2,1,1,1,1,0,1,2,1,0,1,1,23.0
1,0.2,1,0,0,1,1,2,1,2,1,0,1,2,
1,0.4,0,1,0,0,0,0,1,2,2,0,1,2,18.0
0,0.6000000000000001,2,0,1,1,1,0,0,1,1,1,1,2,23.0
0,0.4,0,0,0,1,0,0,1,2,1,0,1,2,18.0
0,0.8,2,0,1,1,1,2,1,2,1,0,1,0,28.0
0,0.6000000000000001,2,1,1,1,1,0,0,1,2,1,1,1,23.0
1,0.4,2,0,0,1,1,0,1,2,1,1,1,1,18.0
0,0.6000000000000001,2,1,0,1,1,1,0,2,1,1,1,0,23.0
0,0.6000000000000001,2,1,0,0,1,1,0,2,1,1,1,1,23.0
0,0.2,1,1,0,1,1,0,0,1,1,0,1,1,
1,0.6000000000000001,2,1,1,1,0,0,1,2,1,0,1,1,23.0
0,0.6000000000000001,2,1,1,1,0,1,1,2,1,1,0,0,23.0
0,0.6000000000000001,2,1,0,0,1,0,0,2,1,1,1,2,23.0
0,0.6000000000000001,0,0,1,0,1,1,0,2,0,0,1,1,23.0
0,0.2,1,1,0,1,1,1,0,2,1,0,1,2,
1,0.6000000000000001,2,0,0,1,1,0,0,2,1,1,1,2,23.0
1,1.0,1,0,0,1,1,2,0,2,1,1,1,1,
0,0.6000000000000001,2,1,0,1,1,2,1,2,2,0,2,0,23.0
1,0.4,0,0,0,0,0,0,0,2,1,0,1,2,18.0
0,0.6000000000000001,2,1,0,1,1,2,1,2,2,0,0,0,23.0
0,0.6000000000000001,2,0,0,0,0,1,0,2,2,0,1,2,23.0
1,0.4,1,1,0,1,1,0,1,2,1,0,0,1,18.0
0,0.4,0,0,1,1,1,0,1,2,1,1,2,2,18.0
0,0.2,1,1,0,1,1,2,0,1,1,0,1,2,
0,0.2,1,1,0,1,1,1,0,1,1,0,1,2,
1,0.6000000000000001,2,0,0,1,1,0,1,2,0,0,1,1,23.0
0,0.6000000000000001,2,1,0,1,1,0,0,2,0,0,1,1,23.0
0,0.6000000000000001,2,0,1,0,0,0,0,1,1,0,1,2,23.0
0,0.2,1,0,0,1,1,0,1,2,1,0,1,2,
1,0.6000000000000001,0,0,0,0,0,0,0,1,0,0,1,1,23.0
0,0.6000000000000001,2,0,1,1,1,0,1,1,1,0,1,1,23.0
0,0.6000000000000001,2,1,0,1,1,0,0,2,1,0,1,1,23.0
1,0.8,2,0,0,0,1,1,0,2,0,0,1,1,28.0
0,0.4,1,0,0,1,1,0,1,2,1,0,1,2,18.0
1,0.6000000000000001,2,1,1,1,1,0,1,1,2,1,0,1,23.0
0,0.6000000000000001,2,1,1,0,0,1,0,1,1,1,1,2,23.0
0,0.2,1,1,0,1,1,1,0,2,2,0,1,2,
0,0.4,0,0,1,0,1,2,1,2,0,0,1,1,18.0
0,0.4,0,0,1,1,1,0,0,2,1,0,1,2,18.0
1,0.4,0,0,0,1,1,0,0,1,1,0,1,1,18.0
1,0.4,0,0,0,1,1,0,1,1,1,0,1,2,18.0
0,0.8,2,1,1,1,1,0,1,1,1,1,1,2,28.0
0,0.6000000000000001,0,0,1,1,1,0,0,2,1,0,1,2,23.0
0,0.6000000000000001,2,0,0,0,1,0,0,2,0,0,1,2,23.0
0,0.4,0,0,0,1,1,0,1,1,1,1,1,2,18.0
0,0.8,2,1,1,1,0,1,0,1,1,1,0,2,28.0
1,0.4,0,1,0,1,1,0,1,2,2,0,1,0,18.0
0,0.6000000000000001,2,0,1,1,1,0,0,1,1,0,1,1,23.0
0,0.6000000000000001,2,1,1,1,1,2,1,2,2,0,1,1,23.0
1,0.8,2,0,0,1,1,0,1,2,0,0,1,1,28.0
0,0.6000000000000001,2,1,1,1,1,0,1,2,1,1,0,0,23.0
0,0.4,0,0,0,0,0,0,0,1,1,0,1,1,18.0
0,0.4,2,0,0,1,1,0,1,1,1,1,0,2,18.0
0,0.2,1,1,0,1,0,0,1,2,1,0,0,1,
1,0.6000000000000001,2,1,0,1,1,0,1,2,2,0,2,2,23.0
0,0.4,0,1,0,1,1,0,1,2,1,0,1,2,18.0
0,0.6000000000000001,0,0,0,1,1,0,0,2,1,0,1,1,23.0
1,0.2,1,1,0,1,1,1,0,2,2,0,1,2,
1,0.6000000000000001,2,1,1,1,1,2,1,2,2,0,0,0,23.0
0,1.0,1,0,0,0,1,0,0,2,0,0,1,1,
1,0.6000000000000001,2,0,0,1,1,1,0,2,0,0,1,1,23.0
1,0.2,1,1,0,1,1,2,1,1,1,0,1,0,
0,0.6000000000000001,2,1,1,0,1,0,0,1,1,1,0,2,23.0
0,0.2,1,0,0,0,1,1,0,1,0,0,1,1,
0,0.6000000000000001,2,0,0,1,1,0,0,1,1,1,1,1,23.0
0,0.6000000000000001,2,1,0,0,1,0,1,2,0,0,1,2,23.0
0,0.2,1,1,0,1,1,0,1,2,1,0,1,1,
0,0.8,2,1,0,1,1,0,1,2,1,1,1,2,28.0
0,0.6000000000000001,2,0,0,0,0,0,0,2,1,0,1,1,23.0
0,0.4,0,0,0,1,0,0,0,2,1,0,1,1,18.0
0,0.4,1,0,0,0,1,0,1,2,1,0,1,2,18.0
1,0.6000000000000001,2,1,0,1,1,0,1,2,2,0,0,2,23.0
0,0.4,0,0,0,1,1,1,0,1,1,0,1,1,18.0
0,0.6000000000000001,2,1,1,1,1,0,1,1,1,1,1,2,23.0
0,0.4,0,0,0,0,0,1,0,0,1,0,1,1,18.0
0,0.6000000000000001,2,0,0,0,1,0,0,2,1,0,1,2,23.0
1,0.4,0,0,0,0,1,0,0,2,1,0,1,1,18.0
0,0.0,1,1,0,1,1,2,1,2,2,0,1,0,
0,0.6000000000000001,2,1,1,1,1,0,1,1,1,0,0,2,23.0
0,0.8,2,1,1,0,0,0,0,1,1,0,1,2,28.0
0,0.2,1,1,0,1,1,0,0,2,1,0,1,1,
1,0.6000000000000001,2,1,1,0,0,1,1,0,2,1,2,1,23.0
1,0.6000000000000001,2,1,0,1,1,2,1,2,2,0,2,2,23.0
0,0.6000000000000001,2,0,0,0,0,0,1,2,0,0,1,1,23.0
1,0.0,1,1,0,1,1,1,0,1,1,0,1,1,
1,0.2,1,1,1,1,1,0,0,2,1,0,1,2,
0,0.8,2,0,0,1,1,0,1,2,1,0,1,2,28.0
1,0.6000000000000001,2,0,0,1,1,0,1,1,0,1,1,1,23.0
1,0.2,1,0,0,0,1,0,0,1,1,0,1,1,
0,0.4,0,0,1,0,1,0,0,2,0,0,1,1,18.0
1,0.4,2,1,1,0,1,0,0,1,2,1,1,2,18.0
1,0.6000000000000001,2,1,0,0,1,0,1,2,1,0,1,2,23.0
1,0.6000000000000001,2,1,1,0,0,0,1,2,1,1,0,2,23.0
0,0.6000000000000001,2,1,0,1,0,0,0,1,1,1,1,2,23.0
1,0.4,2,1,1,0,0,1,0,1,1,1,1,2,18.0
0,0.2,1,1,0,1,1,2,1,2,1,0,1,0,
1,0.4,1,1,0,1,1,0,0,2,0,0,1,1,18.0
1,0.4,0,0,0,0,0,0,0,1,1,0,1,2,18.0
0,0.6000000000000001,2,0,0,1,1,0,1,2,0,0,1,1,23.0
0,0.6000000000000001,2,0,0,0,1,0,0,1,1,0,1,1,23.0
1,0.6000000000000001,2,1,1,1,1,2,1,2,2,0,0,2,23.0
0,0.4,0,0,1,1,1,0,1,2,0,0,1,2,18.0
0,0.6000000000000001,2,0,0,1,1,0,0,2,2,0,1,2,23.0
0,0.2,1,1,0,1,1,2,0,1,1,0,1,0,
0,0.2,1,1,0,0,1,0,0,1,1,0,1,1,
1,0.4,1,0,0,1,1,0,0,2,1,0,1,1,18.0
1,0.2,1,0,0,1,1,2,1,2,1,0,1,1,
1,0.4,0,1,0,1,1,0,1,2,1,0,0,2,18.0
0,0.4,2,0,0,1,1,0,1,2,2,1,0,1,18.0
0,0.0,1,1,0,1,1,0,0,1,1,0,1,1,
0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,
1,0.0,1,1,0,1,1,0,1,1,1,0,1,0,
0,0.2,1,1,0,1,0,1,1,2,0,0,1,1,
0,0.4,0,0,0,1,0,0,0,2,1,0,1,2,18.0
1,0.6000000000000001,2,1,1,1,0,0,1,1,2,1,1,2,23.0
0,0.6000000000000001,2,1,1,0,0,0,0,1,2,0,0,1,23.0
0,0.4,0,0,0,1,1,0,0,1,1,0,1,2,18.0
1,0.4,0,1,0,0,1,0,0,1,1,1,1,1,18.0
0,0.6000000000000001,2,1,1,0,0,0,0,1,1,1,1,2,23.0
0,0.6000000000000001,2,1,1,1,1,0,0,2,2,0,0,2,23.0
